orbital_period,transit_duration,transit_duration_err1,transit_duration_err2,transit_depth,transit_depth_err1,transit_depth_err2,planet_radius,planet_radius_err1,planet_radius_err2,equi_temp,stellar_temp,stellar_temp_err1,stellar_temp_err2,stellar_radius,stellar_radius_err1,stellar_radius_err2,label
0.799868354,6.613,0.156,-0.156,4930.0,26.2,-26.2,34.7,8.74,-3.73,1816.0,5568.0,166.0,-166.0,0.882,0.222,-0.095,0
5.53533152,2.793,0.0792,-0.0792,261.0,10.4,-10.4,1.75,0.26,-0.23,1054.0,5588.0,75.0,-75.0,1.1,0.164,-0.147,1
7.91936937,3.3148,0.0209,-0.0209,15100.0,49.8,-49.8,10.34,2.59,-0.87,814.0,5690.0,154.0,-172.0,0.776,0.195,-0.065,0
3.0726434,2.2602485,0.0121229,-0.0121229,10471.4949697,173.02533,-173.02533,19.9197757,0.9026114,-0.9026114,1793.7963398,7164.0,169.486,-169.486,1.55831,0.0589573,-0.0589573,1
0.566800593,3.909,0.835,-0.835,12.3,1.9,-1.9,0.48,0.1,-0.08,2783.0,6476.0,144.0,-176.0,1.353,0.285,-0.233,0
21.06884,3.9,0.13,-0.132,0.03,20.8,-20.8,1.75,0.13,-0.1,638.0,5677.0,38.0,-39.0,0.92,0.02,-0.01,1
5.0988038,1.0252822,0.1748526,-0.1748526,2925.8222433,132.99059,-132.99059,3.0503381,0.7816048,-0.7816048,538.1908458,3633.0,70.0,-70.0,0.547453,0.0165014,-0.0165014,1
3.381607,7.627,0.381,-0.381,441.0,30.3,-30.3,117.25,27.8,-38.2,6037.0,3974.0,130.0,-118.0,59.437,14.085,-19.366,0
85.517344,9.331,0.38,-0.38,270.0,21.6,-21.6,3.04,0.45,-0.71,482.0,5592.0,75.0,-75.0,1.451,0.211,-0.342,1
6.47539108,2.7048,0.0816,-0.0816,531.0,20.8,-20.8,1.92,0.07,-0.15,793.0,4954.0,79.0,-79.0,0.828,0.032,-0.065,1
92.7297248,6.83,0.153,-0.153,1260.0,31.9,-31.9,2.81,0.2,-0.08,276.0,4580.0,92.0,-92.0,0.675,0.046,-0.021,1
20.74028645,10.3939,0.0626,-0.0626,1020.0,7.5,-7.5,4.24,0.75,-0.57,798.0,6226.0,112.0,-124.0,1.299,0.231,-0.173,1
12.72029843,2.4599,0.13,-0.132,284.0,20.8,-20.8,1.37,0.08,-0.06,589.0,4914.0,98.0,-98.0,0.724,0.045,-0.03,0
736.5528811,4.735,1.644,-1.644,1432.0,822.724,-822.724,3.13923,1.18599,-1.18599,192.0,5659.0,134.6,-134.6,0.86,0.05,-0.05,0
108.593113,7.989,0.234,-0.234,338.0,15.4,-15.4,1.68,0.21,-0.21,374.0,5678.0,113.0,-102.0,0.921,0.115,-0.115,1
0.7676706,1.057,0.211,-0.211,340.0,0.968097,-0.968097,2.98877,0.211164,-0.211164,2031.0,6377.0,122.5,-122.5,1.53,0.07,-0.07,0
3.6191613,4.3656,0.0936,-0.0936,1.18,20.8,-20.8,16.92559,0.874302,-0.874302,1637.0,6060.0,150.0,-150.0,1.444,0.057,-0.057,1
0.566803216,3.325,0.739,-0.739,20.2,2.3,-2.3,0.54,0.13,-0.07,2642.0,6473.0,146.0,-195.0,1.182,0.263,-0.162,0
6.44173995,1.635,0.179,-0.179,108.0,12.2,-12.2,1.41,0.81,-0.3,1175.0,6088.0,157.0,-201.0,1.339,0.777,-0.284,0
4.409409243,3.8636,0.0468,-0.0468,12900.0,174.0,-174.0,10.95,3.05,-2.03,1101.0,5600.0,186.0,-169.0,0.975,0.271,-0.181,0
235.20613,6.989,0.942,-0.942,642.0,146.0,-146.0,1.71,0.24,-0.13,230.0,5205.0,140.0,-155.0,0.679,0.097,-0.048,0
18.9257333,6.149,0.58,-0.58,189.0,14.4,-14.4,16.74,4.08,-2.73,639.0,5455.0,162.0,-146.0,0.909,0.222,-0.148,0
207.5829306,7.0686,0.0866,-0.0866,505.0,7.6,-7.6,4.52,0.79,-1.04,453.0,6688.0,120.0,-147.0,1.79,0.311,-0.415,1
112.645961,7.037,0.355,-0.355,1960.0,98.7,-98.7,35.36,11.0,-3.43,377.0,5895.0,182.0,-223.0,0.991,0.309,-0.096,0
23.6270348,11.481,0.16,-0.16,8430.0,117.0,-117.0,21.71,3.5,-2.56,560.0,5305.0,185.0,-185.0,0.857,0.138,-0.101,0
1.8012697,3.182,0.426,-0.426,1800.0,3.63809,-3.63809,3.19942,0.294622,-0.294622,1576.0,4570.0,126.3,-126.3,0.75,0.06,-0.06,0
0.973160836,0.864,0.191,-0.191,138.0,20.7,-20.7,1.22,0.39,-0.13,1932.0,6108.0,172.0,-236.0,1.03,0.323,-0.108,0
1.33253834,3.737,0.508,-0.508,62.4,8.0,-8.0,0.64,0.15,-0.06,1453.0,5520.0,166.0,-166.0,0.818,0.188,-0.075,0
52.6095103,8.202,0.358,-0.358,204.0,15.2,-15.2,1.83,0.3,-0.32,553.0,5881.0,79.0,-79.0,1.294,0.207,-0.228,1
1.3176767,1.692,0.452,-0.452,530.0,79.9536,-79.9536,4.16809,0.392416,-0.392416,2137.0,7176.0,503.1,-503.1,1.73,0.07,-0.07,0
23.3924063,3.416,0.443,-0.443,62.3,9.4,-9.4,0.84,0.37,-0.09,701.0,6221.0,150.0,-183.0,1.05,0.463,-0.114,0
7.891448838,4.2854,0.00697,-0.00697,10300.0,6.9,-6.9,12.63,2.13,-1.42,1028.0,5972.0,72.0,-84.0,1.237,0.209,-0.139,1
