pl_name,pl_orbper,pl_tranmid,pl_trandur,pl_rade,pl_radj,pl_radjerr1,pl_radjerr2,pl_ratror,st_rad,st_raderr1,st_raderr2,sy_dist,sy_disterr1,sy_disterr2,sy_plx,sy_plxerr1,sy_plxerr2,disposition
0,7.49543,2456987.674,3.62,2.45,0.21857436,0.01873495,-0.01873495,0.021,1.06,0.07,-0.07,269.183,2.539,-2.493,3.68643,0.0344589,-0.0344589,CONFIRMED
1,14.697,2457944.839,3.408,2.93,0.26139709,0.01248996,-0.01070568,0.03827,0.703,0.024,-0.022,77.5586,0.3581,-0.3549,12.865,0.0588243,-0.0588243,CONFIRMED
2,4.098507,2457063.807,2.355,13.405964,1.196,0.06,-0.06,0.1302,0.941,0.041,-0.041,333.042,3.021,-2.968,2.97391,0.0267936,-0.0267936,CONFIRMED
3,31.7154,2456903.79,5.06,3.77,0.33633687,0.03657775,-0.03657775,0.0371,0.92,0.07,-0.07,157.682,1.309,-1.288,6.31369,0.051837,-0.051837,CONFIRMED
4,6.6674,2457398.417,4.824,1.66,0.148,0.012,-0.03,0.01154,1.321,0.042,-0.027,325.4,4.842,-4.705,3.04486,0.0447365,-0.0447365,CONFIRMED
5,4.60497,2456985.432,0.0,7.09,0.63252743,0.0,0.0,0.0252,2.59,0.21,-0.21,307.47,4.656,-4.656,3.2244,0.0488659,-0.0488659,CONFIRMED
6,13.60496,2457141.477,4.224,2.69,0.24,0.021,-0.048,0.0268,0.919,0.035,-0.074,330.916,5.727,-5.539,2.9939,0.051039,-0.051039,CONFIRMED
7,2.4675,2457991.691,1.988,1.343,0.11981464,0.00160586,-0.00142743,0.01743,0.71,0.01,-0.01,67.5062,0.2799,-0.2775,14.7849,0.0606971,-0.0606971,CONFIRMED
8,14.13168,2457145.118,3.648,2.18,0.194,0.013,-0.041,0.0278,0.7209,0.0066,-0.023,228.327,4.823,-4.631,4.35333,0.0899408,-0.0899408,CONFIRMED
9,3.27108,2457584.025,2.4,1.54,0.1373896,0.01248996,-0.00802926,0.0156,0.91,0.02,-0.02,211.265,3.379,-3.275,4.7062,0.0739526,-0.0739526,CONFIRMED
10,16.2713,2457145.973,7.68,2.77,0.247,0.014,-0.021,0.01997,1.27,0.06,-0.019,421.636,10.783,-10.268,2.34416,0.0587299,-0.0587299,CONFIRMED
11,3.471280262,2459281.404,2.4382015,4.2314265,0.37750324,0.03140737,-0.03140737,0.0301,0.563,0.017267,-0.017267,182.536,1.9095,-1.9095,5.4503,0.0568664,-0.0568664,CONFIRMED
12,2.4841905,2456982.62,1.886,15.6,1.39173878,0.14274244,-0.14274244,0.1031,1.39,0.14,-0.14,294.001,4.412,-4.286,3.37341,0.049924,-0.049924,CONFIRMED
13,20.35507391,2459553.714,3.5018936,10.50799334,0.93746199,0.05862908,-0.05862908,0.0301,0.539092,0.016876,-0.016876,268.685,3.6615,-3.6615,3.69372,0.0503318,-0.0503318,CONFIRMED
14,1.543452,2457140.872,1.644,1.3,0.12,0.012,-0.019,0.0163,0.735,0.059,-0.049,280.518,2.385,-2.346,3.53616,0.0298341,-0.0298341,CONFIRMED
15,7.62117,2456811.677,2.184,1.87,0.167,0.012,-0.019,0.0314,0.544,0.012,-0.021,334.967,4.1785,-4.1785,2.95691,0.0369571,-0.0369571,CONFIRMED
16,3.799853582,2459475.982,1.8114914,13.26706229,1.18361006,0.10073101,-0.10073101,0.0301,0.759375,0.064372,-0.064372,143.651,0.583,-0.579,6.93252,0.0279442,-0.0279442,CONFIRMED
17,8.32727,2457586.343,2.5,2.03,0.18110447,0.01070568,-0.00535284,0.0236,0.79,0.01,-0.01,102.564,1.093,-1.07,9.72291,0.101996,-0.101996,CONFIRMED
18,5.113823,2458096.81,2.1504,5.0,0.4,0.02230354,-0.02408779,0.0301,1.409,0.036,-0.036,371.823,6.528,-6.31,2.66126,0.0460689,-0.0460689,CONFIRMED
19,11.81004,2456811.851,2.4024,3.08,0.275,0.039,-0.05,0.0354,0.8,0.11,-0.13,493.992,9.0765,-9.0765,1.9959,0.0369068,-0.0369068,CONFIRMED
20,3.0712,2457821.317,1.22,1.31,0.11687037,0.00713712,-0.00713712,0.0255,0.47,0.03,-0.03,75.1703,0.2012,-0.2012,13.2743,0.0353491,-0.0353491,CONFIRMED
21,20.523,2458005.722,3.192,1.8,0.16058524,0.02676421,-0.0089214,0.0313,0.54,0.01,-0.01,72.9105,0.52255,-0.52255,13.6878,0.0975584,-0.0975584,CONFIRMED
22,8.9919156,2456900.927,3.57,4.79,0.42733518,0.02230354,-0.02408779,0.05639,0.72,0.040150000000000005,-0.04,157.682,1.309,-1.288,6.31369,0.051837,-0.051837,CONFIRMED
23,1.419714,2457062.589,1.368,1.18,0.105,0.017,-0.046,0.038,0.284,0.03,-0.055,62.5785,0.2828,-0.2803,15.9515,0.0713516,-0.0713516,CONFIRMED
24,33.589979,2457908.961,4.9,5.333,0.47577921,0.03184946,-0.03452589,0.0551,0.886,0.056,-0.052,246.599,2.561,-2.509,4.02673,0.0413669,-0.0413669,CONFIRMED
25,4.0984897,2457063.807,2.3976,13.14,1.172,0.031,-0.123,0.1309,0.921,0.018,-0.092,333.042,3.021,-2.968,2.97391,0.0267936,-0.0267936,CONFIRMED
26,19.491965,2458113.94,2.976,6.8,0.61,0.02230354,-0.02408779,0.0301,1.485,0.357,-0.357,181.69,1.295,-1.277,5.47529,0.0386732,-0.0386732,CONFIRMED
27,32.947328,2456836.171,2.97,2.17,0.19359443,0.02230354,-0.02408779,0.05389,0.36,0.040150000000000005,-0.04,38.0266,0.07955,-0.07955,26.2686,0.0545906,-0.0545906,CONFIRMED
28,6.679224,2457223.418,2.7096,2.6,0.23,0.03,-0.02,0.0271,0.88,0.040150000000000005,-0.04,242.113,1.94,-1.91,4.10173,0.0325947,-0.0325947,CONFIRMED
29,6.5693,2457588.284,4.56,12.273855,1.095,0.018,-0.018,0.114,0.987,0.011,-0.011,347.917,8.287,-7.917,2.84731,0.0663889,-0.0663889,CONFIRMED
30,4.681743,2457222.665,2.0496,5.4,0.48,0.2,-0.2,0.1987,0.25,0.040150000000000005,-0.04,122.41,1.564,-1.526,8.14261,0.102287,-0.102287,FALSE POSITIVE
31,11.2954,2456986.71,1.75,2.3,0.20519226,0.02587207,-0.02587207,0.0286,0.731,0.072,-0.072,311.313,3.544,-3.467,3.18378,0.0358917,-0.0358917,CONFIRMED
32,4.941907,2457993.51,2.9,1.283,0.11446179,0.00865378,-0.00794006,0.0127,0.927,0.058,-0.052,218.376,1.676,-1.651,4.55074,0.0346153,-0.0346153,CONFIRMED
33,6.326680037,2458575.158,2.0310601,2.29015537,0.20431433,0.20164242,-0.20164242,0.0301,0.975383,0.049706,-0.049706,113.123,0.701,-0.691,8.81151,0.0539824,-0.0539824,CONFIRMED
34,12.396,2459478.415,5.59,6.13,0.55,0.03,-0.03,0.0409,1.33,0.04,-0.03,108.199,0.704,-0.696,9.21392,0.0593414,-0.0593414,CONFIRMED
35,2.060368,2457217.85,1.4904,3.16,0.282,0.019,-0.029,0.0398,0.727,0.031,-0.041,687.973,19.924,-18.851,1.42567,0.0406258,-0.0406258,CONFIRMED
36,15.5718552,2460266.657,4.931,2.44317,0.2179654,0.01227605,-0.01227605,0.0301,1.31,0.07,-0.07,106.289,0.676,-0.668,9.37994,0.0590378,-0.0590378,CONFIRMED
37,41.96797,2457773.862,4.75,3.013,0.26880186,0.02703185,-0.02239272,0.03187,0.863,0.031,-0.018,202.585,2.028,-1.989,4.90795,0.048567,-0.048567,CONFIRMED
38,3.3557219,2460280.324,1.599,1.9149,0.17083623,0.00556773,-0.00556773,0.0301,0.56,0.02,-0.02,75.1691,0.30675,-0.30675,13.2747,0.0538818,-0.0538818,CONFIRMED
39,8.43889971,2459572.872,2.5274041,3.01612551,0.26908116,0.04180953,-0.04180953,0.0301,0.735345,0.043417,-0.043417,123.438,0.714,-0.706,8.07267,0.0462617,-0.0462617,CONFIRMED
40,5.29853,2456978.488,3.144,3.32,0.296,0.055,-0.235,0.0455,0.668,0.07,-0.035,451.769,13.976,-13.176,2.18689,0.0659555,-0.0659555,CONFIRMED
41,15.93709,2456906.433,3.288,1.87,0.167,0.012,-0.022,0.0235,0.731,0.038,-0.048,185.947,5.318,-5.035,5.35665,0.148395,-0.148395,CONFIRMED
42,36.5563,2457152.706,6.408,3.18,0.284,0.015,-0.037,0.0265,1.1,0.017,-0.021,421.408,7.437,-7.189,2.34466,0.0408619,-0.0408619,CONFIRMED
43,29.84622,2457394.978,4.81,2.74,0.24444685,0.0094567,-0.00892142,0.03006,0.835,0.026,-0.026,47.2899,0.1485,-0.1475,21.1175,0.065682,-0.065682,CONFIRMED
44,23.44701,2456898.837,5.712,3.24,0.289,0.012,-0.026,0.02666,1.115,0.017,-0.016,187.222,1.492,-1.47,5.31289,0.0419384,-0.0419384,CONFIRMED
45,6.293099,2457906.953,1.9,2.262,0.20180247,0.01864576,-0.01712912,0.0306,0.675,0.051,-0.046,200.727,1.54,-1.517,4.9533,0.0376498,-0.0376498,CONFIRMED
46,20.6921,2456987.06,2.76,2.41,0.2150058,0.02765635,-0.02765635,0.0299,0.731,0.072,-0.072,311.313,3.544,-3.467,3.18378,0.0358917,-0.0358917,CONFIRMED
47,3.619192,2457313.274,4.4208,10.2,0.91,0.37,-0.37,0.1052,0.89,0.040150000000000005,-0.04,944.603,32.262,-30.233,1.03135,0.0347051,-0.0347051,CONFIRMED
48,8.865663,2457489.157,2.8488,2.46597575,0.22,0.0098,-0.0086,0.03141,0.719,0.025,-0.023,203.896,1.742,-1.712,4.87598,0.0412297,-0.0412297,CONFIRMED
49,2.35309,2457773.317,2.01,1.51,0.13471318,0.00981354,-0.00749398,0.016,0.863,0.031,-0.018,202.585,2.028,-1.989,4.90795,0.048567,-0.048567,CONFIRMED
50,5.67556,2457221.45,1.8048,1.117,0.09965,0.0079,-0.0144,0.0177,0.578,0.032,-0.038,114.637,0.93,-0.915,8.6952,0.0696789,-0.0696789,CONFIRMED
51,39.7268,2457242.999,8.52,3.63,0.324,0.048,-0.04,0.0254,1.312,0.184,-0.049,629.51,18.604,-17.584,1.56091,0.0452812,-0.0452812,CONFIRMED
52,1.25785,2457191.709,0.9816,11.88154,1.06,0.35,-0.35,0.135,0.78,0.07,-0.07,110.527,0.72,-0.712,9.01931,0.0581673,-0.0581673,CONFIRMED
53,12.83306,2457230.142,3.408,1.82,0.162,0.015,-0.034,0.0256,0.649,0.022,-0.04,195.149,1.425,-1.406,5.09575,0.036884,-0.036884,CONFIRMED
54,3.258768,2457067.691,2.071,11.42,1.01882416,0.03746989,-0.03746989,0.1229,0.85,0.03,-0.03,178.475,1.32,-1.301,5.57452,0.0408217,-0.0408217,CONFIRMED
