kepid,koi_period,koi_time0bk,koi_time0,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_incl,koi_teq,koi_insol,koi_insol_err1,koi_insol_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_ldm_coeff2,koi_ldm_coeff1,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_bin_oedp_sig,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_fwm_stat_sig,koi_disposition
0,426.34444,464.9081,2455297.908,0.032,0.407,-0.0318,14.139,0.86,-0.86,90.2,10.4,-10.4,0.008762,0.000498,-0.000671,1.30408,0.13992,-0.59124,1.33,0.64,-0.31,1.1269,89.95,314.0,2.29,3.24,-1.1,232.3,24.9,-24.9,0.3055,0.2956,6.2135533,24.499257999999998,9.7,1,164.0,0.4679,6395.0,164.0,-188.0,4.17,0.207,-0.252,1.394,0.665,-0.326,1.047,0.244,-0.118,0.354,FALSE POSITIVE
1,0.373684977,131.963342,2454964.963,0.86,0.091,-0.606,0.9621,0.0322,-0.0322,457.0,11.6,-11.6,0.022703,0.00219,-0.00247,0.90163,3.26201,-0.54944,2.25,0.73,-0.24,0.0102,62.79,2490.0,9009.0,8591.22,-2701.03,1.881,0.851,-0.851,0.2916,0.3447,3.6170392,12.247096,53.8,1,1747.0,0.9997,5970.0,167.0,-188.0,4.521,0.039,-0.221,0.908,0.293,-0.098,0.996,0.131,-0.131,0.0,FALSE POSITIVE
2,33.3856176,148.92764,2454981.928,0.562,0.345,-0.345,5.0361,0.0934,-0.0934,553.0,15.9,-15.9,0.022235,0.00349,-0.000774,1.37423,1.09081,-0.06441,2.48,0.7,-0.37,0.2012,89.26,580.0,26.73,22.11,-9.7,43.3,17.2,-17.2,0.2622,0.4035,7.8523555,32.242672,37.1,2,39.0,0.0994,5833.0,157.0,-175.0,4.407,0.101,-0.188,1.022,0.288,-0.155,0.974,0.127,-0.104,0.801,CONFIRMED
3,12.98494603,139.78207,2454972.782,0.046,0.378,-0.046,3.4497,0.0649,-0.0649,257.0,7.6,-7.6,0.01467,0.000461,-0.00024,2.77985,0.15466,-0.84248,1.64,0.24,-0.19,0.1055,89.91,818.0,105.74,43.23,-30.05,29.15,1.6,-1.6,0.2965,0.3342,6.358666,33.825256,38.4,1,79.0,0.0019,5948.0,107.0,-119.0,4.384,0.11,-0.11,1.025,0.149,-0.122,0.93,0.059,-0.065,0.044,CONFIRMED
4,111.3198052,226.648705,2455059.649,0.234,0.004,-0.006,23.0078,0.0115,-0.0115,62700.0,21.3,-21.3,0.226038,7.5e-05,-0.000116,0.1344,0.00042,-0.00054,63.68,21.6,-9.25,0.4352,89.7,539.0,20.01,19.6,-6.39,44.487,0.139,-0.139,0.1818,0.5302,1307.1799,2281.4678,3433.7,1,12.0,0.0001,5022.0,125.0,-88.0,3.562,0.132,-0.181,2.58,0.876,-0.375,0.887,0.254,-0.03,0.0,FALSE POSITIVE
5,0.643002821,131.689685,2454964.69,1.261,0.442,-0.172,1.02608,0.00661,-0.00661,2670.0,15.3,-15.3,0.325502,0.424,-0.161,0.58505,0.22588,-0.11386,36.82,12.4,-8.24,0.0136,57.37,2188.0,5409.39,5461.2,-2486.39,2.338,0.903,-0.903,0.2787,0.3728,5.9547095,82.748825,295.6,1,2077.0,0.9478,5681.0,169.0,-152.0,4.315,0.22,-0.22,1.036,0.349,-0.232,0.807,0.124,-0.062,0.0,FALSE POSITIVE
6,0.844786082,134.216987,2454967.217,1.297,0.254,-0.207,3.5289,0.0217,-0.0217,2470.0,12.3,-12.3,0.353039,0.246,-0.194,0.08845,0.04851,-0.02644,35.27,9.14,-4.93,0.0167,29.79,1864.0,2846.03,2234.43,-983.23,1.494,0.41,-0.41,0.2711,0.3858,19.908804,53.333557,245.6,1,1583.0,0.5745,5705.0,172.0,-172.0,4.452,0.098,-0.182,0.915,0.237,-0.128,0.865,0.12,-0.08,0.0,FALSE POSITIVE
7,3.74782314,171.66634,2455004.666,1.202,3.25,-0.086,5.133,0.114,-0.114,423.0,9.1,-9.1,0.222587,3.24,-0.0834,0.00709,0.13216,-0.00086,25.59,8.27,-2.74,0.0495,46.3,1253.0,583.52,565.23,-181.73,1.74,0.853,-0.853,0.3024,0.3288,5.401637,42.40874,53.8,1,358.0,0.3936,6161.0,184.0,-221.0,4.454,0.054,-0.216,1.053,0.34,-0.113,1.15,0.138,-0.169,0.0,FALSE POSITIVE
8,10.26547688,136.49663,2454969.497,0.69,0.248,-0.457,3.733,0.157,-0.157,400.0,22.9,-22.9,0.019462,0.00453,-0.00137,0.70563,1.02948,-0.62221,1.81,0.5,-0.15,0.0909,87.49,770.0,83.13,67.14,-21.5,15.78,7.7,-7.7,0.2676,0.3928,6.229011,17.754032,20.1,1,124.0,0.3696,5699.0,152.0,-169.0,4.553,0.033,-0.187,0.853,0.235,-0.073,0.95,0.094,-0.115,0.0,FALSE POSITIVE
9,51.1104797,143.77855,2454976.779,0.029,0.418,-0.029,7.712,0.21,-0.21,330.0,17.5,-17.5,0.016631,0.000683,-0.000558,0.98634,0.06846,-0.37878,1.6,0.45,-0.14,0.2668,89.97,478.0,12.38,9.89,-3.25,51.45,3.6,-3.6,0.2965,0.3342,6.354747,19.658266,21.9,1,19.0,0.4541,5968.0,143.0,-178.0,4.534,0.046,-0.184,0.881,0.246,-0.077,0.97,0.107,-0.118,0.417,CONFIRMED
