toi,st_pmra,st_pmraerr1,st_pmraerr2,st_pmdec,st_pmdecerr1,st_pmdecerr2,pl_tranmid,pl_orbper,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_rade,pl_insol,pl_eqt,st_tmag,st_tmagerr1,st_tmagerr2,st_dist,st_disterr1,st_disterr2,st_teff,st_tefferr1,st_tefferr2,st_logg,st_rad,disposition_category
0,-8.943,0.036,-0.036,8.538,0.031,-0.031,2459657.955,4.3345378,3.336,0.094,-0.094,10000.0,1.46059,-1.46059,14.3572,546.903,1347.0,11.323,0.007,-0.007,417.365,3.983,-3.983,6314.8,303.0,-303.0,4.21,1.43,CONFIRMED
1,-15.51,0.033,-0.033,-17.482,0.043,-0.043,2459199.706,1.6375303,1.606,0.228,-0.228,770.0,0.968713,-0.968713,5.03673,900.876,1526.0,9.70467,0.006,-0.006,211.351,1.269,-1.269,5888.8,108.6,-108.6,3.99,1.72,FALSE_POSITIVE
2,11.492,0.083,-0.083,-13.533,0.084,-0.084,2458544.17,4.0860495,4.5420607,0.0464229,-0.0464229,7083.709119,64.40354,-64.40354,13.0323437,1434.773879,1569.696229,11.248,0.006,-0.006,500.258,13.1685,-13.1685,6580.0,131.1,-131.1,4.0663,1.47741,CONFIRMED
3,33.323,0.049,-0.049,58.22,0.056,-0.056,2458794.103,3.623909,2.6568012,0.1899665,-0.1899665,26979.82105,2005.456,-2005.456,6.9347137,4.6168393,373.8573643,13.0367,0.007,-0.007,82.1294,0.20165,-0.20165,3514.0,157.0,-157.0,4.81377,0.414101,FALSE_POSITIVE
4,-5.208,0.069,-0.069,50.723,0.073,-0.073,2459766.956,2.88069,1.784,0.066,-0.066,10380.0,432.648,-432.648,22.4297,678.487,1421.0,10.4673,0.006,-0.006,173.117,1.294,-1.294,5541.0,139.8,-139.8,4.36,1.09,CONFIRMED
5,-7.352,0.024,-0.024,-4.06,0.029,-0.029,2459252.299,0.879268,1.529,0.272,-0.272,4550.0,9.8167,-9.8167,11.9007,3494.7,2142.0,12.9604,0.006,-0.006,888.752,12.1415,-12.1415,6259.0,131.2,-131.2,4.06,1.7,FALSE_POSITIVE
6,0.096,0.073,-0.073,-2.647,0.07,-0.07,2459603.426,3.4744763,4.258,0.018,-0.018,12920.0,0.0996836,-0.0996836,19.6131,1701.38,1789.0,10.7131,0.008,-0.008,396.11,7.5075,-7.5075,6642.3,107.3,-107.3,4.14,1.67,CONFIRMED
7,-4.711,0.094,-0.094,-54.25,0.069,-0.069,2458326.922,9.47686,4.392,0.243,-0.243,2980.0,1.07525,-1.07525,9.80856,161.969,993.0,10.7379,0.006,-0.006,342.831,7.221,-7.221,5801.8,235.6,-235.6,4.32,1.79,CONFIRMED
8,-2.911,0.075,-0.075,-33.389,0.046,-0.046,2458519.463,4.6418435,3.8566772,0.0403297,-0.0403297,7525.447523,56.10482,-56.10482,12.6031793,684.0972603,1304.365227,11.5598,0.006,-0.006,405.238,7.6375,-7.6375,5743.0,131.1,-131.1,4.14093,1.41374,CONFIRMED
9,6.252,0.089,-0.089,-29.901,0.084,-0.084,2459740.631,2.2232698,0.648,0.236,-0.236,31700.0,1284.8,-1284.8,9.36074,5.11732,419.0,14.2399,0.008,-0.008,100.029,0.76205,-0.76205,3157.0,157.0,-157.0,4.87,0.36,FALSE_POSITIVE
10,-2.854,0.053,-0.053,-6.52,0.04,-0.04,2459550.516,1.4958429,1.534,0.335,-0.335,2830.0,13.2558,-13.2558,6.70553,825.738,1493.0,13.1472,0.029,-0.029,602.413,12.609,-12.609,5666.0,122.0,-122.0,4.24,1.27,FALSE_POSITIVE
11,-51.299,0.028,-0.028,-174.989,0.034,-0.034,2460479.421,1.2680452,1.027,0.212,-0.212,538.0,44.8627,-44.8627,2.24707,504.879,1320.0,9.1597,0.006,-0.006,83.1749,0.1674,-0.1674,5477.0,121.4,-121.4,4.46,0.95,FALSE_POSITIVE
12,-28.318,0.105,-0.105,-8.731,0.081,-0.081,2459562.25,9.1720535,7.169,1.432,-1.432,580.0,2.98453,-2.98453,9.02881,293.374,1152.0,11.0295,0.007,-0.007,609.818,17.452,-17.452,4933.0,122.0,-122.0,4.438,3.79,CONFIRMED
13,-32.468,0.111,-0.111,28.147,0.083,-0.083,2460365.996,0.8352406,1.043,0.149,-0.149,2065.0,297.341,-297.341,6.4875,5021.63,2345.0,10.402,0.006,-0.006,224.444,1.993,-1.993,6105.0,142.2,-142.2,4.31,1.24,FALSE_POSITIVE
14,-0.262,0.06,-0.06,-2.803,0.05,-0.05,2458473.382,9.2432303,2.4045872,0.2877249,-0.2877249,10879.97703,1130.5815,-1130.5815,15.3965057,180.8704391,935.3230728,13.8786,0.026,-0.026,844.061,23.527,-23.527,5880.0,131.1,-131.1,4.47813,1.2998101,CONFIRMED
15,-4.569,0.078,-0.078,-4.414,0.071,-0.071,2460481.357,4.4626647,3.0802705,0.071522,-0.071522,7983.827052,197.9701,-197.9701,13.3934403,1405.47983,1561.621947,11.1323,0.006,-0.006,290.736,5.025,-5.025,7587.0,408.241,-408.241,4.39508,1.3951401,CONFIRMED
